Date,Away,AS,Home,HS,OT,Detail Path,Game Type,Detail Data,Rand
2012-04-17,SAS,112,LAL,91,N,sas-vs-lal-0021100917,regular,1,8
1995-12-04,DET,82,DEN,85,N,det-vs-den-0029500225,regular,1,8
1999-05-09,MIN,86,SAS,99,N,min-vs-sas-0049800006,playoffs,1,3
2013-06-14,No Games,-,No Games,-,-,-,-,2,4
2012-11-03,DEN,116,MIA,119,N,den-vs-mia-0021200030,regular,1,3
2022-10-14,BKN,112,MIN,102,N,bkn-vs-min-0012200066,preseason,1,9
2017-08-07,No Games,-,No Games,-,-,-,-,2,9
2009-08-18,No Games,-,No Games,-,-,-,-,2,4
1998-05-13,CHH,84,CHI,93,N,chh-vs-chi-0049700057,playoffs,1,9
2009-11-27,NJN,96,SAC,109,N,njn-vs-sac-0020900233,regular,1,8
2000-04-13,GSW,107,SAC,130,N,gsw-vs-sac-0029901134,regular,1,5
2004-04-04,BOS,102,WAS,112,N,bos-vs-was-0020301108,regular,1,0
1997-02-14,HOU,85,SEA,105,N,hou-vs-sea-0029600714,regular,1,5
2021-11-24,CHA,106,ORL,99,N,cha-vs-orl-0022100269,regular,1,6
2003-05-11,DET,82,PHI,95,N,det-vs-phi-0040200204,playoffs,1,8
1997-12-15,PHI,83,BOS,100,N,phi-vs-bos-0029700314,regular,1,9
2011-05-02,ATL,103,CHI,95,N,atl-vs-chi-0041000201,playoffs,1,0
1997-02-11,NYK,97,WAS,92,N,nyk-vs-was-0029600682,regular,1,5
2023-01-18,IND,106,OKC,126,N,ind-vs-okc-0022200674,regular,1,5
2009-01-02,SAS,91,MEM,80,N,sas-vs-mem-0020800480,regular,1,5
1996-01-22,HOU,96,ATL,105,N,hou-vs-atl-0029500553,regular,1,5
2005-03-18,LAC,96,DEN,115,N,lac-vs-den-0020400967,regular,1,0
2001-04-04,POR,79,MIN,83,N,por-vs-min-0020001079,regular,1,9
2016-02-07,ATL,94,ORL,96,N,atl-vs-orl-0021500771,regular,1,5
1998-03-20,TOR,99,DET,105,N,tor-vs-det-0029700962,regular,1,1
2008-03-16,SEA,116,DEN,168,N,sea-vs-den-0020700989,regular,1,8
2006-02-21,ATL,87,DET,97,N,atl-vs-det-0020500782,regular,1,1
1998-02-11,DAL,90,PHI,91,N,dal-vs-phi-0029700694,regular,1,5
1999-05-01,TOR,96,PHI,103,N,tor-vs-phi-0029800685,regular,1,8
2013-04-21,ATL,90,IND,107,N,atl-vs-ind-0041200121,playoffs,1,5
2022-04-24,PHX,103,NOP,118,N,phx-vs-nop-0042100144,playoffs,1,7
2017-04-09,HOU,135,SAC,128,N,hou-vs-sac-0021601200,regular,1,4
2009-01-31,DAL,111,MIA,96,N,dal-vs-mia-0020800694,regular,1,7
2017-03-21,LAC,133,LAL,109,N,lac-vs-lal-0021601058,regular,1,0
2006-04-17,CHI,116,ORL,112,Y,chi-vs-orl-0020501204,regular,1,0
2023-02-06,SAS,104,CHI,128,N,sas-vs-chi-0022200811,regular,1,7
2015-11-15,POR,94,CHA,106,N,por-vs-cha-0021500147,regular,1,4
2016-03-05,BOS,103,CLE,120,N,bos-vs-cle-0021500922,regular,1,2
2012-12-05,LAL,103,NOH,87,N,lal-vs-noh-0021200263,regular,1,3
2012-12-18,TOR,113,CLE,99,N,tor-vs-cle-0021200357,regular,1,2
2018-12-12,NYK,106,CLE,113,N,nyk-vs-cle-0021800406,regular,1,3
2016-03-25,ORL,97,MIA,108,N,orl-vs-mia-0021501075,regular,1,1
2001-03-07,TOR,85,LAL,97,N,tor-vs-lal-0020000884,regular,1,9
2009-10-28,HOU,108,GSW,107,N,hou-vs-gsw-0020900015,regular,1,6
2010-11-19,OKC,89,BOS,84,N,okc-vs-bos-0021000171,regular,1,9
1996-11-30,NJN,106,LAC,95,Y,njn-vs-lac-0029600217,regular,1,2
2009-04-01,SAC,141,GSW,143,Y,sac-vs-gsw-0020801120,regular,1,5
2003-04-23,ORL,77,DET,89,N,orl-vs-det-0040200102,playoffs,1,2
2011-01-15,TOR,95,WAS,98,N,tor-vs-was-0021000589,regular,1,2
2018-02-06,MEM,82,ATL,108,N,mem-vs-atl-0021700799,regular,1,3
2003-04-01,ORL,105,SAS,118,N,orl-vs-sas-0020201071,regular,1,9
2022-01-28,MIN,124,PHX,134,N,min-vs-phx-0022100743,regular,1,6
2007-01-05,DAL,90,SAS,85,N,dal-vs-sas-0020600484,regular,1,0
2020-12-07,No Games,-,No Games,-,-,-,-,2,8
2004-01-26,SAS,92,MIL,93,N,sas-vs-mil-0020300637,regular,1,5
2009-04-23,BOS,107,CHI,86,N,bos-vs-chi-0040800113,playoffs,1,0
1997-03-28,TOR,86,WAS,113,N,tor-vs-was-0029601017,regular,1,3
2004-02-24,SEA,86,UTA,99,N,sea-vs-uta-0020300822,regular,1,0
2009-11-15,HOU,101,LAL,91,N,hou-vs-lal-0020900146,regular,1,8
2013-01-19,SAS,98,ATL,93,N,sas-vs-atl-0021200594,regular,1,4
2013-01-04,CHI,96,MIA,89,N,chi-vs-mia-0021200481,regular,1,3
2020-12-26,TOR,114,SAS,119,N,tor-vs-sas-0022000027,regular,1,6
2015-10-18,DET,92,SAS,96,N,det-vs-sas-0011500076,preseason,1,2
1999-02-09,BOS,108,MIA,101,N,bos-vs-mia-0029800037,regular,1,6
2000-07-31,No Games,-,No Games,-,-,-,-,2,2
2004-03-23,MIL,112,SAC,101,N,mil-vs-sac-0020301024,regular,1,6
2016-12-03,DEN,98,UTA,105,N,den-vs-uta-0021600297,regular,1,2
2008-05-22,DET,103,BOS,97,N,det-vs-bos-0040700302,playoffs,1,7
2000-01-05,WAS,66,CHI,77,N,was-vs-chi-0029900444,regular,1,9
2003-10-08,HOU,78,SEA,98,N,hou-vs-sea-0010300016,preseason,1,0
2008-11-23,GSW,81,PHI,89,N,gsw-vs-phi-0020800194,regular,1,8
2000-03-28,DEN,111,ATL,116,N,den-vs-atl-0029901013,regular,1,2
2002-02-24,ATL,89,DEN,84,N,atl-vs-den-0020100797,regular,1,6
2015-11-28,LAL,96,POR,108,N,lal-vs-por-0021500244,regular,1,1
2007-02-25,PHX,115,ATL,106,N,phx-vs-atl-0020600833,regular,1,1
2014-01-05,TOR,97,MIA,102,N,tor-vs-mia-0021300500,regular,1,1
2022-12-25,PHI,119,NYK,112,N,phi-vs-nyk-0022200493,regular,1,3
2002-11-15,NJN,93,MIA,84,N,njn-vs-mia-0020200120,regular,1,5
2017-02-01,IND,98,ORL,88,N,ind-vs-orl-0021600730,regular,1,7
1996-11-01,WAS,96,ORL,92,N,was-vs-orl-0029600004,regular,1,7
2007-10-15,NJN,86,CHA,96,N,njn-vs-cha-0010700045,preseason,1,9
2004-07-15,BOS,-,CLE,-,N,bos-vs-cle-0010401016,preseason,2,2
2014-11-21,SAS,121,MIN,92,N,sas-vs-min-0021400177,regular,1,6
2013-02-19,GSW,101,UTA,115,N,gsw-vs-uta-0021200795,regular,1,7
1998-02-10,TOR,86,CHI,93,N,tor-vs-chi-0029700686,regular,1,9
2010-02-10,ORL,107,CHI,87,N,orl-vs-chi-0020900773,regular,1,2
1999-05-01,LAC,93,MIN,103,N,lac-vs-min-0029800687,regular,1,3
2003-02-25,WAS,83,IND,78,N,was-vs-ind-0020200815,regular,1,2
2013-03-15,MEM,80,DEN,87,N,mem-vs-den-0021200977,regular,1,3
2019-03-09,BOS,120,LAL,107,N,bos-vs-lal-0021800989,regular,1,6
2014-02-24,BOS,98,UTA,110,N,bos-vs-uta-0021300845,regular,1,8
1995-04-17,WAS,100,ORL,111,N,was-vs-orl-0029401057,regular,1,9
1995-03-15,MIL,108,IND,117,N,mil-vs-ind-0029400837,regular,1,2
2001-03-16,UTA,87,POR,90,N,uta-vs-por-0020000950,regular,1,1
2000-03-28,TOR,99,CLE,96,N,tor-vs-cle-0029901014,regular,1,4
2016-01-30,DEN,105,IND,109,Y,den-vs-ind-0021500709,regular,1,1
2006-03-08,CHI,101,DET,106,N,chi-vs-det-0020500901,regular,1,4
2007-04-15,PHI,102,DET,91,N,phi-vs-det-0020601201,regular,1,6
2002-10-09,NOH,-,IND,-,N,noh-vs-ind-0010200013,preseason,2,9
2016-12-10,SAC,84,UTA,104,N,sac-vs-uta-0021600354,regular,1,2
2021-01-23,MIA,124,BKN,128,N,mia-vs-bkn-0022000244,regular,1,9
2013-01-05,PHI,86,SAS,109,N,phi-vs-sas-0021200496,regular,1,6
1999-05-01,CHI,101,MIA,86,N,chi-vs-mia-0029800686,regular,1,5
2003-12-23,DAL,88,POR,97,N,dal-vs-por-0020300398,regular,1,4
2018-12-23,LAC,127,GSW,129,N,lac-vs-gsw-0021800494,regular,1,5
1997-01-15,IND,108,LAC,93,N,ind-vs-lac-0029600521,regular,1,4
2011-01-07,MIA,101,MIL,95,Y,mia-vs-mil-0021000532,regular,1,4
2002-09-26,No Games,-,No Games,-,-,-,-,2,5
2005-04-01,SAC,128,CLE,109,N,sac-vs-cle-0020401072,regular,1,8
1997-03-23,POR,94,NYK,88,N,por-vs-nyk-0029600984,regular,1,9
2004-11-03,ATL,82,PHX,112,N,atl-vs-phx-0020400013,regular,1,7
2019-01-16,BKN,145,HOU,142,Y,bkn-vs-hou-0021800659,regular,1,2
2010-03-16,WAS,87,DEN,97,N,was-vs-den-0020901002,regular,1,0
2004-05-14,NJN,127,DET,3120,Y,njn-vs-det-0040300215,playoffs,1,5
1995-12-02,PHX,93,SAN,101,N,phx-vs-san-0029500211,regular,1,6
2010-04-11,OKC,117,GSW,120,N,okc-vs-gsw-0020901200,regular,1,3
2018-11-05,MEM,101,GSW,117,N,mem-vs-gsw-0021800147,regular,1,9
2014-12-03,PHI,85,MIN,77,N,phi-vs-min-0021400270,regular,1,4
2019-10-07,SLA,89,CLE,120,Y,sla-vs-cle-0011900012,preseason,1,1
2000-03-25,WAS,93,DAL,86,N,was-vs-dal-0029900995,regular,1,3
1998-04-25,HOU,90,UTA,105,N,hou-vs-uta-0049700012,playoffs,1,2
2021-03-15,NYK,112,BKN,117,N,nyk-vs-bkn-0022000604,regular,1,7
2011-04-10,OKC,120,LAL,106,N,okc-vs-lal-0021001201,regular,1,1
2007-03-28,CLE,93,NYK,97,N,cle-vs-nyk-0020601063,regular,1,2
2011-01-13,ORL,124,OKC,125,N,orl-vs-okc-0021000574,regular,1,3
2010-02-24,PHI,95,PHX,106,N,phi-vs-phx-0020900853,regular,1,0
1995-07-01,No Games,-,No Games,-,-,-,-,2,3
2006-11-03,NOK,100,IND,91,N,nok-vs-ind-0020600020,regular,1,3
2003-12-26,TOR,94,UTA,97,Y,tor-vs-uta-0020300412,regular,1,0
2009-08-23,No Games,-,No Games,-,-,-,-,2,1
2003-11-29,ATL,86,PHI,98,N,atl-vs-phi-0020300224,regular,1,8
2016-03-13,MIL,109,BKN,100,N,mil-vs-bkn-0021500985,regular,1,2
2007-02-12,LAC,74,DET,92,N,lac-vs-det-0020600765,regular,1,1
2016-12-06,ORL,124,WAS,116,N,orl-vs-was-0021600315,regular,1,2
2023-01-28,SAC,110,MIN,117,N,sac-vs-min-0022200746,regular,1,7
2021-05-09,NYK,106,LAC,100,N,nyk-vs-lac-0022001019,regular,1,8
2015-05-15,GSW,108,MEM,95,N,gsw-vs-mem-0041400226,playoffs,1,3
2007-07-04,No Games,-,No Games,-,-,-,-,2,7
2011-03-28,BOS,100,IND,107,N,bos-vs-ind-0021001097,regular,1,4
2002-12-13,DEN,72,IND,94,N,den-vs-ind-0020200319,regular,1,2
2005-11-05,BOS,105,CHA,107,Y,bos-vs-cha-0020500033,regular,1,8
2021-12-13,MIL,103,BOS,117,N,mil-vs-bos-0022100408,regular,1,2
2021-05-07,MIN,112,MIA,121,N,min-vs-mia-0022001005,regular,1,3
2008-11-14,DET,106,LAL,95,N,det-vs-lal-0020800131,regular,1,6
2012-01-31,SAC,90,GSW,93,N,sac-vs-gsw-0021100314,regular,1,6
2016-02-25,BKN,116,PHX,106,N,bkn-vs-phx-0021500858,regular,1,4
2012-01-17,DET,80,HOU,97,N,det-vs-hou-0021100200,regular,1,8
2008-03-07,SEA,83,PHI,117,N,sea-vs-phi-0020700913,regular,1,9
2019-10-18,LAL,103,GSW,124,Y,lal-vs-gsw-0011900079,preseason,1,0
2013-01-04,SAC,105,TOR,96,N,sac-vs-tor-0021200478,regular,1,5
1996-12-02,HOU,89,TOR,100,N,hou-vs-tor-0029600223,regular,1,6
2008-03-23,GSW,115,LAL,111,N,gsw-vs-lal-0020701043,regular,1,5
2010-11-09,NYK,80,MIL,107,N,nyk-vs-mil-0021000104,regular,1,4
2004-02-22,ATL,121,HOU,3123,Y,atl-vs-hou-0020300809,regular,1,4
2017-05-09,HOU,107,SAS,110,Y,hou-vs-sas-0041600235,playoffs,1,8
2013-11-02,TOR,97,MIL,90,N,tor-vs-mil-0021300037,regular,1,9
2016-06-06,No Games,-,No Games,-,-,-,-,2,3
2000-06-15,No Games,-,No Games,-,-,-,-,2,6
2009-02-24,DAL,76,SAS,93,N,dal-vs-sas-0020800848,regular,1,1
2015-03-01,POR,110,SAC,99,N,por-vs-sac-0021400879,regular,1,1
2001-09-06,No Games,-,No Games,-,-,-,-,2,9
2009-02-08,LAL,101,CLE,91,N,lal-vs-cle-0020800751,regular,1,6
2017-04-14,No Games,-,No Games,-,-,-,-,2,3
1998-04-28,CHH,64,ATL,96,N,chh-vs-atl-0049700020,playoffs,1,2
2006-04-12,BOS,112,IND,117,N,bos-vs-ind-0020501164,regular,1,0
1999-11-30,ATL,107,TOR,89,N,atl-vs-tor-0029900204,regular,1,4
2001-11-08,PHI,72,HOU,77,N,phi-vs-hou-0020100075,regular,1,4
2011-03-22,WAS,76,POR,111,N,was-vs-por-0021001052,regular,1,0
2016-04-08,WAS,99,DET,112,N,was-vs-det-0021501182,regular,1,1
2017-04-05,TOR,105,DET,102,N,tor-vs-det-0021601166,regular,1,9
2006-05-09,DAL,113,SAS,91,N,dal-vs-sas-0040500222,playoffs,1,2
2010-01-15,WAS,119,CHI,2121,Y,was-vs-chi-0020900574,regular,1,7
1995-12-12,MIL,102,WAS,108,N,mil-vs-was-0029500283,regular,1,0
2005-11-12,IND,102,MIL,103,N,ind-vs-mil-0020500087,regular,1,3
2008-12-09,LAL,101,SAC,113,N,lal-vs-sac-0020800313,regular,1,7
2013-11-17,MEM,97,SAC,86,N,mem-vs-sac-0021300148,regular,1,1
2023-01-12,CLE,119,POR,113,N,cle-vs-por-0022200631,regular,1,5
1999-12-25,NYK,90,IND,101,N,nyk-vs-ind-0029900378,regular,1,3
2013-04-17,CLE,98,CHA,105,N,cle-vs-cha-0021201219,regular,1,0
1998-04-19,UTA,98,LAL,102,N,uta-vs-lal-0029701187,regular,1,5
2010-06-15,BOS,67,LAL,89,N,bos-vs-lal-0040900406,playoffs,1,8
2007-04-13,WAS,98,ATL,85,N,was-vs-atl-0020601178,regular,1,6
2015-10-31,SAC,109,LAC,114,N,sac-vs-lac-0021500038,regular,1,2
2008-10-13,OKC,110,HOU,104,N,okc-vs-hou-0010800045,preseason,1,0
2016-12-23,DAL,90,LAC,88,N,dal-vs-lac-0021600455,regular,1,8
2001-01-05,GSW,100,BOS,88,N,gsw-vs-bos-0020000465,regular,1,0
2003-10-14,SAS,98,MIA,99,N,sas-vs-mia-0010300049,preseason,2,1
2001-03-05,DET,84,MIA,87,N,det-vs-mia-0020000863,regular,1,4
2003-12-03,IND,95,POR,97,Y,ind-vs-por-0020300253,regular,1,1
2001-10-12,ORL,-,CHH,-,N,orl-vs-chh-0010100025,preseason,2,4
2017-12-04,MIL,100,BOS,111,N,mil-vs-bos-0021700343,regular,1,2
2021-05-27,DEN,120,POR,115,N,den-vs-por-0042000163,playoffs,1,2
1999-04-08,POR,86,SEA,87,N,por-vs-sea-0029800502,regular,1,5
2004-09-15,No Games,-,No Games,-,-,-,-,2,2
2009-03-07,CHA,114,NYK,105,N,cha-vs-nyk-0020800929,regular,1,2
2007-06-08,No Games,-,No Games,-,-,-,-,2,1
1999-04-18,HOU,83,SAS,86,N,hou-vs-sas-0029800582,regular,1,4
2011-04-06,NJN,109,DET,116,N,njn-vs-det-0021001167,regular,1,3
1997-04-12,VAN,96,DAL,85,N,van-vs-dal-0029601129,regular,1,4
2004-02-07,NYK,76,MIA,64,N,nyk-vs-mia-0020300722,regular,1,9
1997-11-07,ORL,89,DET,84,N,orl-vs-det-0029700058,regular,1,5
2009-05-23,LAL,103,DEN,97,N,lal-vs-den-0040800313,playoffs,1,3
2010-03-24,DEN,99,BOS,113,N,den-vs-bos-0020901058,regular,1,2
2022-03-25,PHI,122,LAC,97,N,phi-vs-lac-0022101106,regular,1,1
2009-02-23,IND,119,NYK,123,N,ind-vs-nyk-0020800837,regular,1,0
2014-03-03,MIN,132,DEN,128,N,min-vs-den-0021300895,regular,1,8
1998-01-13,SEA,91,CHI,101,N,sea-vs-chi-0029700511,regular,1,3
2013-02-02,OKC,110,CLE,115,N,okc-vs-cle-0021200698,regular,1,1
2018-01-02,ATL,103,PHX,104,N,atl-vs-phx-0021700551,regular,1,2
2022-11-15,NYK,118,UTA,111,N,nyk-vs-uta-0022200208,regular,1,0
2001-03-13,NJN,98,DAL,122,N,njn-vs-dal-0020000922,regular,1,7
1999-05-16,NYK,78,MIA,77,N,nyk-vs-mia-0049800033,playoffs,1,8
2021-03-01,CHA,111,POR,123,N,cha-vs-por-0022000535,regular,1,6
2014-07-02,No Games,-,No Games,-,-,-,-,2,5
2000-03-25,CHH,86,ATL,70,N,chh-vs-atl-0029900994,regular,1,4
2003-10-31,MIN,61,NJN,84,N,min-vs-njn-0020300022,regular,1,4
1997-01-14,IND,98,SAC,105,Y,ind-vs-sac-0029600514,regular,1,7
1997-10-30,No Games,-,No Games,-,-,-,-,2,5
2007-12-15,PHI,92,CLE,86,N,phi-vs-cle-0020700344,regular,1,9
2011-08-01,No Games,-,No Games,-,-,-,-,2,5
1998-03-14,POR,82,DEN,92,N,por-vs-den-0029700918,regular,1,0
2005-03-13,SEA,90,NYK,80,N,sea-vs-nyk-0020400925,regular,1,3
2016-12-18,BOS,105,MIA,95,N,bos-vs-mia-0021600410,regular,1,8
2002-05-14,BOS,90,DET,81,N,bos-vs-det-0040100215,playoffs,1,5
2013-05-24,IND,97,MIA,93,N,ind-vs-mia-0041200302,playoffs,1,4
2019-10-08,SAS,89,MIA,107,Y,sas-vs-mia-0011900019,preseason,1,4
2009-02-25,UTA,120,MIN,103,N,uta-vs-min-0020800854,regular,1,7
2000-03-22,SAC,93,PHX,114,N,sac-vs-phx-0029900976,regular,1,5
2000-11-30,LAL,88,SEA,121,N,lal-vs-sea-0020000222,regular,1,9
1996-01-03,IND,110,LAC,94,N,ind-vs-lac-0029500424,regular,1,0
1995-11-29,PHX,96,LAL,107,N,phx-vs-lal-0029500189,regular,1,8
2003-04-06,NJN,96,TOR,87,N,njn-vs-tor-0020201106,regular,1,6
2000-05-09,NYK,82,MIA,76,N,nyk-vs-mia-0049900042,playoffs,1,5
2001-12-21,DEN,74,SAS,109,N,den-vs-sas-0020100368,regular,1,8
1996-12-03,IND,98,POR,93,Y,ind-vs-por-0029600233,regular,1,4
1997-04-01,LAC,87,MIA,97,N,lac-vs-mia-0029601039,regular,1,2
2017-03-06,BKN,122,MEM,109,N,bkn-vs-mem-0021600939,regular,1,4
1998-04-09,CHI,85,CLE,91,N,chi-vs-cle-0029701109,regular,1,3
2015-11-16,BOS,111,HOU,95,N,bos-vs-hou-0021500154,regular,1,3
2008-12-15,IND,118,WAS,98,N,ind-vs-was-0020800353,regular,1,3
2001-03-09,TOR,110,SEA,99,N,tor-vs-sea-0020000898,regular,1,4
2005-05-27,No Games,-,No Games,-,-,-,-,2,7
2021-02-08,CLE,113,PHX,119,N,cle-vs-phx-0022000372,regular,1,2
2013-10-21,NYK,120,TOR,2123,Y,nyk-vs-tor-0011300084,preseason,1,9
2015-03-18,ORL,102,DAL,107,N,orl-vs-dal-0021401012,regular,1,4
1999-04-13,NJN,101,LAC,109,N,njn-vs-lac-0029800540,regular,1,5
2005-12-07,PHX,118,GSW,110,N,phx-vs-gsw-0020500267,regular,1,0
2002-12-15,NOH,92,SAC,107,N,noh-vs-sac-0020200340,regular,1,7
2003-10-29,DAL,95,GSW,87,N,dal-vs-gsw-0020300013,regular,1,6
1999-12-10,DEN,99,CHH,106,N,den-vs-chh-0029900274,regular,1,2
